latitude,longitude,pm25_ugm3,co_ppm,no2_ppb,so2_ppb,o3_ppb,temperature_c,relative_humidity,wind_speed_ms,wind_direction_deg,calibration_factor,pm25_ugm3_lag1,pm25_ugm3_lag3,pm25_ugm3_lag6,pm25_ugm3_lag24,co_ppm_lag1,co_ppm_lag3,co_ppm_lag6,co_ppm_lag24,no2_ppb_lag1,no2_ppb_lag3,no2_ppb_lag6,no2_ppb_lag24,so2_ppb_lag1,so2_ppb_lag3,so2_ppb_lag6,so2_ppb_lag24,o3_ppb_lag1,o3_ppb_lag3,o3_ppb_lag6,o3_ppb_lag24,temperature_c_lag1,temperature_c_lag3,temperature_c_lag6,temperature_c_lag24,relative_humidity_lag1,relative_humidity_lag3,relative_humidity_lag6,relative_humidity_lag24,wind_speed_ms_lag1,wind_speed_ms_lag3,wind_speed_ms_lag6,wind_speed_ms_lag24,wind_direction_deg_lag1,wind_direction_deg_lag3,wind_direction_deg_lag6,wind_direction_deg_lag24,pm25_ugm3_rollmean_3,pm25_ugm3_rollmean_6,pm25_ugm3_rollmean_24,co_ppm_rollmean_3,co_ppm_rollmean_6,co_ppm_rollmean_24,no2_ppb_rollmean_3,no2_ppb_rollmean_6,no2_ppb_rollmean_24,so2_ppb_rollmean_3,so2_ppb_rollmean_6,so2_ppb_rollmean_24,o3_ppb_rollmean_3,o3_ppb_rollmean_6,o3_ppb_rollmean_24,temperature_c_rollmean_3,temperature_c_rollmean_6,temperature_c_rollmean_24,relative_humidity_rollmean_3,relative_humidity_rollmean_6,relative_humidity_rollmean_24,wind_speed_ms_rollmean_3,wind_speed_ms_rollmean_6,wind_speed_ms_rollmean_24,wind_direction_deg_rollmean_3,wind_direction_deg_rollmean_6,wind_direction_deg_rollmean_24,temperature_c_x_relative_humidity,pm25_ugm3_lag1,pm25_ugm3_lag3,pm25_ugm3_lag6,pm25_ugm3_lag24,co_ppm_lag1,co_ppm_lag3,co_ppm_lag6,co_ppm_lag24,no2_ppb_lag1,no2_ppb_lag3,no2_ppb_lag6,no2_ppb_lag24,so2_ppb_lag1,so2_ppb_lag3,so2_ppb_lag6,so2_ppb_lag24,o3_ppb_lag1,o3_ppb_lag3,o3_ppb_lag6,o3_ppb_lag24,temperature_c_lag1,temperature_c_lag3,temperature_c_lag6,temperature_c_lag24,relative_humidity_lag1,relative_humidity_lag3,relative_humidity_lag6,relative_humidity_lag24,wind_speed_ms_lag1,wind_speed_ms_lag3,wind_speed_ms_lag6,wind_speed_ms_lag24,wind_direction_deg_lag1,wind_direction_deg_lag3,wind_direction_deg_lag6,wind_direction_deg_lag24,pm25_ugm3_rollmean_3,pm25_ugm3_rollmean_6,pm25_ugm3_rollmean_24,co_ppm_rollmean_3,co_ppm_rollmean_6,co_ppm_rollmean_24,no2_ppb_rollmean_3,no2_ppb_rollmean_6,no2_ppb_rollmean_24,so2_ppb_rollmean_3,so2_ppb_rollmean_6,so2_ppb_rollmean_24,o3_ppb_rollmean_3,o3_ppb_rollmean_6,o3_ppb_rollmean_24,temperature_c_rollmean_3,temperature_c_rollmean_6,temperature_c_rollmean_24,relative_humidity_rollmean_3,relative_humidity_rollmean_6,relative_humidity_rollmean_24,wind_speed_ms_rollmean_3,wind_speed_ms_rollmean_6,wind_speed_ms_rollmean_24,wind_direction_deg_rollmean_3,wind_direction_deg_rollmean_6,wind_direction_deg_rollmean_24,temperature_c_x_relative_humidity
23.89244813,90.39365588,2.8,2.42,54.3,10.0,31.0,29.0,41.6,2.3,120.2,0.978396027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206.4
23.81513881,90.37910206,36.9,3.38,51.7,6.2,57.5,23.9,42.7,1.1,51.2,1.010800165,2.8,,,,2.42,,,,54.3,,,,10.0,,,,31.0,,,,29.0,,,,41.6,,,,2.3,,,,120.2,,,,2.8,2.8,2.8,2.42,2.42,2.42,54.3,54.3,54.3,10.0,10.0,10.0,31.0,31.0,31.0,29.0,29.0,29.0,41.6,41.6,41.6,2.3,2.3,2.3,120.2,120.2,120.2,1020.53,2.8,,,,2.42,,,,54.3,,,,10.0,,,,31.0,,,,29.0,,,,41.6,,,,2.3,,,,120.2,,,,2.8,2.8,2.8,2.42,2.42,2.42,54.3,54.3,54.3,10.0,10.0,10.0,31.0,31.0,31.0,29.0,29.0,29.0,41.6,41.6,41.6,2.3,2.3,2.3,120.2,120.2,120.2,1020.53
23.84248121,90.41739935,38.3,2.52,74.1,16.4,188.9,30.2,52.4,1.9,101.5,0.951335956,36.9,,,,3.38,,,,51.7,,,,6.2,,,,57.5,,,,23.9,,,,42.7,,,,1.1,,,,51.2,,,,19.849999999999998,19.849999999999998,19.849999999999998,2.9,2.9,2.9,53.0,53.0,53.0,8.1,8.1,8.1,44.25,44.25,44.25,26.45,26.45,26.45,42.150000000000006,42.150000000000006,42.150000000000006,1.7,1.7,1.7,85.7,85.7,85.7,1582.48,36.9,,,,3.38,,,,51.7,,,,6.2,,,,57.5,,,,23.9,,,,42.7,,,,1.1,,,,51.2,,,,19.849999999999998,19.849999999999998,19.849999999999998,2.9,2.9,2.9,53.0,53.0,53.0,8.1,8.1,8.1,44.25,44.25,44.25,26.45,26.45,26.45,42.150000000000006,42.150000000000006,42.150000000000006,1.7,1.7,1.7,85.7,85.7,85.7,1582.48
23.80816921,90.41435718,30.8,2.25,89.4,21.8,166.1,37.2,46.2,2.4,323.7,1.040067278,38.3,2.8,,,2.52,2.42,,,74.1,54.3,,,16.4,10.0,,,188.9,31.0,,,30.2,29.0,,,52.4,41.6,,,1.9,2.3,,,101.5,120.2,,,26.0,26.0,26.0,2.7733333333333334,2.7733333333333334,2.7733333333333334,60.03333333333333,60.03333333333333,60.03333333333333,10.866666666666665,10.866666666666665,10.866666666666665,92.46666666666665,92.46666666666665,92.46666666666665,27.7,27.7,27.7,45.56666666666666,45.56666666666666,45.56666666666666,1.7666666666666666,1.7666666666666666,1.7666666666666666,90.96666666666665,90.96666666666665,90.96666666666665,1718.6400000000003,38.3,2.8,,,2.52,2.42,,,74.1,54.3,,,16.4,10.0,,,188.9,31.0,,,30.2,29.0,,,52.4,41.6,,,1.9,2.3,,,101.5,120.2,,,26.0,26.0,26.0,2.7733333333333334,2.7733333333333334,2.7733333333333334,60.03333333333333,60.03333333333333,60.03333333333333,10.866666666666665,10.866666666666665,10.866666666666665,92.46666666666665,92.46666666666665,92.46666666666665,27.7,27.7,27.7,45.56666666666666,45.56666666666666,45.56666666666666,1.7666666666666666,1.7666666666666666,1.7666666666666666,90.96666666666665,90.96666666666665,90.96666666666665,1718.6400000000003
23.84863161,90.37017366,10.9,0.95,77.3,8.7,85.6,23.1,54.0,3.9,57.4,0.933461408,30.8,36.9,,,2.25,3.38,,,89.4,51.7,,,21.8,6.2,,,166.1,57.5,,,37.2,23.9,,,46.2,42.7,,,2.4,1.1,,,323.7,51.2,,,35.333333333333336,27.2,27.2,2.716666666666667,2.6425,2.6425,71.73333333333333,67.375,67.375,14.799999999999999,13.6,13.6,137.5,110.875,110.875,30.433333333333334,30.075,30.075,47.1,45.725,45.725,1.8,1.9249999999999998,1.9249999999999998,158.8,149.15,149.15,1247.4,30.8,36.9,,,2.25,3.38,,,89.4,51.7,,,21.8,6.2,,,166.1,57.5,,,37.2,23.9,,,46.2,42.7,,,2.4,1.1,,,323.7,51.2,,,35.333333333333336,27.2,27.2,2.716666666666667,2.6425,2.6425,71.73333333333333,67.375,67.375,14.799999999999999,13.6,13.6,137.5,110.875,110.875,30.433333333333334,30.075,30.075,47.1,45.725,45.725,1.8,1.9249999999999998,1.9249999999999998,158.8,149.15,149.15,1247.4
23.73056608,90.37679704,31.6,1.99,128.9,18.5,82.0,23.1,60.7,2.4,118.5,1.09557448,10.9,38.3,,,0.95,2.52,,,77.3,74.1,,,8.7,16.4,,,85.6,188.9,,,23.1,30.2,,,54.0,52.4,,,3.9,1.9,,,57.4,101.5,,,26.66666666666666,23.939999999999998,23.939999999999998,1.9066666666666665,2.304,2.304,80.26666666666667,69.36,69.36,15.633333333333331,12.62,12.62,146.86666666666667,105.82000000000001,105.82000000000001,30.166666666666668,28.68,28.68,50.86666666666667,47.38,47.38,2.733333333333333,2.32,2.32,160.86666666666667,130.8,130.8,1402.17,10.9,38.3,,,0.95,2.52,,,77.3,74.1,,,8.7,16.4,,,85.6,188.9,,,23.1,30.2,,,54.0,52.4,,,3.9,1.9,,,57.4,101.5,,,26.66666666666666,23.939999999999998,23.939999999999998,1.9066666666666665,2.304,2.304,80.26666666666667,69.36,69.36,15.633333333333331,12.62,12.62,146.86666666666667,105.82000000000001,105.82000000000001,30.166666666666668,28.68,28.68,50.86666666666667,47.38,47.38,2.733333333333333,2.32,2.32,160.86666666666667,130.8,130.8,1402.17
23.74431979,90.4486347,51.6,1.5,118.5,9.1,67.8,37.6,81.7,1.5,167.3,1.013506389,31.6,30.8,2.8,,1.99,2.25,2.42,,128.9,89.4,54.3,,18.5,21.8,10.0,,82.0,166.1,31.0,,23.1,37.2,29.0,,60.7,46.2,41.6,,2.4,2.4,2.3,,118.5,323.7,120.2,,24.433333333333337,25.21666666666667,25.21666666666667,1.7299999999999998,2.2516666666666665,2.2516666666666665,98.53333333333335,79.28333333333333,79.28333333333333,16.333333333333332,13.6,13.6,111.23333333333333,101.85000000000001,101.85000000000001,27.8,27.75,27.75,53.63333333333333,49.6,49.6,2.9,2.3333333333333335,2.3333333333333335,166.53333333333333,128.75,128.75,3071.92,31.6,30.8,2.8,,1.99,2.25,2.42,,128.9,89.4,54.3,,18.5,21.8,10.0,,82.0,166.1,31.0,,23.1,37.2,29.0,,60.7,46.2,41.6,,2.4,2.4,2.3,,118.5,323.7,120.2,,24.433333333333337,25.21666666666667,25.21666666666667,1.7299999999999998,2.2516666666666665,2.2516666666666665,98.53333333333335,79.28333333333333,79.28333333333333,16.333333333333332,13.6,13.6,111.23333333333333,101.85000000000001,101.85000000000001,27.8,27.75,27.75,53.63333333333333,49.6,49.6,2.9,2.3333333333333335,2.3333333333333335,166.53333333333333,128.75,128.75,3071.92
23.87074794,90.36044934,15.1,1.56,192.4,3.5,86.0,31.1,58.6,4.4,305.0,0.913824126,51.6,10.9,36.9,,1.5,0.95,3.38,,118.5,77.3,51.7,,9.1,8.7,6.2,,67.8,85.6,57.5,,37.6,23.1,23.9,,81.7,54.0,42.7,,1.5,3.9,1.1,,167.3,57.4,51.2,,31.36666666666667,33.35,28.985714285714288,1.4799999999999998,2.098333333333333,2.144285714285714,108.23333333333335,89.98333333333333,84.88571428571429,12.1,13.450000000000001,12.957142857142857,78.46666666666665,107.98333333333333,96.98571428571428,27.933333333333337,29.183333333333334,29.157142857142855,65.46666666666667,56.28333333333333,54.18571428571429,2.5999999999999996,2.1999999999999997,2.2142857142857144,114.40000000000002,136.6,134.25714285714287,1822.46,51.6,10.9,36.9,,1.5,0.95,3.38,,118.5,77.3,51.7,,9.1,8.7,6.2,,67.8,85.6,57.5,,37.6,23.1,23.9,,81.7,54.0,42.7,,1.5,3.9,1.1,,167.3,57.4,51.2,,31.36666666666667,33.35,28.985714285714288,1.4799999999999998,2.098333333333333,2.144285714285714,108.23333333333335,89.98333333333333,84.88571428571429,12.1,13.450000000000001,12.957142857142857,78.46666666666665,107.98333333333333,96.98571428571428,27.933333333333337,29.183333333333334,29.157142857142855,65.46666666666667,56.28333333333333,54.18571428571429,2.5999999999999996,2.1999999999999997,2.2142857142857144,114.40000000000002,136.6,134.25714285714287,1822.46
23.71093031,90.4193502,28.8,2.84,133.5,18.7,72.3,21.2,33.3,2.5,337.6,1.038571586,15.1,31.6,38.3,,1.56,1.99,2.52,,192.4,128.9,74.1,,3.5,18.5,16.4,,86.0,82.0,188.9,,31.1,23.1,30.2,,58.6,60.7,52.4,,4.4,2.4,1.9,,305.0,118.5,101.5,,32.766666666666666,29.71666666666667,27.25,1.6833333333333333,1.7950000000000002,2.07125,146.6,113.43333333333334,98.325,10.366666666666667,13.0,11.775,78.60000000000001,112.73333333333333,95.6125,30.600000000000005,30.383333333333336,29.4,67.0,58.93333333333334,54.737500000000004,2.766666666666667,2.75,2.4875,196.93333333333337,178.9,155.60000000000002,705.9599999999999,15.1,31.6,38.3,,1.56,1.99,2.52,,192.4,128.9,74.1,,3.5,18.5,16.4,,86.0,82.0,188.9,,31.1,23.1,30.2,,58.6,60.7,52.4,,4.4,2.4,1.9,,305.0,118.5,101.5,,32.766666666666666,29.71666666666667,27.25,1.6833333333333333,1.7950000000000002,2.07125,146.6,113.43333333333334,98.325,10.366666666666667,13.0,11.775,78.60000000000001,112.73333333333333,95.6125,30.600000000000005,30.383333333333336,29.4,67.0,58.93333333333334,54.737500000000004,2.766666666666667,2.75,2.4875,196.93333333333337,178.9,155.60000000000002,705.9599999999999
23.79127078,90.40164203,20.0,3.67,97.9,50.3,54.1,29.3,87.8,1.6,153.3,0.919539657,28.8,51.6,30.8,,2.84,1.5,2.25,,133.5,118.5,89.4,,18.7,9.1,21.8,,72.3,67.8,166.1,,21.2,37.6,37.2,,33.3,81.7,46.2,,2.5,1.5,2.4,,337.6,167.3,323.7,,31.833333333333332,28.133333333333336,27.422222222222224,1.9666666666666668,1.8483333333333334,2.1566666666666667,148.13333333333333,123.33333333333333,102.23333333333333,10.433333333333332,13.383333333333335,12.544444444444444,75.36666666666666,93.3,93.02222222222223,29.96666666666667,28.883333333333336,28.488888888888887,57.866666666666674,55.75,52.355555555555554,2.7999999999999994,2.85,2.488888888888889,269.9666666666667,218.25,175.82222222222222,2572.54,28.8,51.6,30.8,,2.84,1.5,2.25,,133.5,118.5,89.4,,18.7,9.1,21.8,,72.3,67.8,166.1,,21.2,37.6,37.2,,33.3,81.7,46.2,,2.5,1.5,2.4,,337.6,167.3,323.7,,31.833333333333332,28.133333333333336,27.422222222222224,1.9666666666666668,1.8483333333333334,2.1566666666666667,148.13333333333333,123.33333333333333,102.23333333333333,10.433333333333332,13.383333333333335,12.544444444444444,75.36666666666666,93.3,93.02222222222223,29.96666666666667,28.883333333333336,28.488888888888887,57.866666666666674,55.75,52.355555555555554,2.7999999999999994,2.85,2.488888888888889,269.9666666666667,218.25,175.82222222222222,2572.54
