model,feature,importance
LinearRegression,latitude,-0.40020433556369855
LinearRegression,longitude,-0.39091671136025685
LinearRegression,pm25_ugm3,0.4287021145656449
LinearRegression,co_ppm,-1.008910828114242
LinearRegression,no2_ppb,2.2481454776355125
LinearRegression,so2_ppb,-1.0224069699754894
LinearRegression,o3_ppb,1.5525123675045782
LinearRegression,temperature_c,-0.572141771349026
LinearRegression,relative_humidity,0.7477876056808621
LinearRegression,wind_speed_ms,0.0019330525540660615
LinearRegression,wind_direction_deg,-0.28975119517721426
LinearRegression,calibration_factor,-1.5139597312963
LinearRegression,pm25_ugm3_lag1,0.28939058882244734
LinearRegression,pm25_ugm3_lag1,0.2893905888224516
LinearRegression,pm25_ugm3_lag3,-0.03905707957769833
LinearRegression,pm25_ugm3_lag3,-0.039057079577699605
LinearRegression,pm25_ugm3_lag6,-0.3268864220493494
LinearRegression,pm25_ugm3_lag6,-0.3268864220493457
LinearRegression,pm25_ugm3_lag24,0.30610369053987285
LinearRegression,pm25_ugm3_lag24,0.3061036905398742
LinearRegression,co_ppm_lag1,0.1045717408813403
LinearRegression,co_ppm_lag1,0.10457174088134141
LinearRegression,co_ppm_lag3,0.08137381254466336
LinearRegression,co_ppm_lag3,0.08137381254466372
LinearRegression,co_ppm_lag6,0.15697000771536476
LinearRegression,co_ppm_lag6,0.15697000771536618
LinearRegression,co_ppm_lag24,0.2487678759222496
LinearRegression,co_ppm_lag24,0.24876787592224747
LinearRegression,no2_ppb_lag1,0.040661104306336404
LinearRegression,no2_ppb_lag1,0.04066110430633446
LinearRegression,no2_ppb_lag3,-0.25140426510328984
LinearRegression,no2_ppb_lag3,-0.2514042651032903
LinearRegression,no2_ppb_lag6,-0.5135474434652022
LinearRegression,no2_ppb_lag6,-0.5135474434652026
LinearRegression,no2_ppb_lag24,0.5205509954383468
LinearRegression,no2_ppb_lag24,0.5205509954383465
LinearRegression,so2_ppb_lag1,-0.05473497354991719
LinearRegression,so2_ppb_lag1,-0.054734973549916244
LinearRegression,so2_ppb_lag3,-0.016020574627428896
LinearRegression,so2_ppb_lag3,-0.01602057462742934
LinearRegression,so2_ppb_lag6,0.38534808166450557
LinearRegression,so2_ppb_lag6,0.3853480816645053
LinearRegression,so2_ppb_lag24,-0.0777664433580856
LinearRegression,so2_ppb_lag24,-0.07776644335808701
LinearRegression,o3_ppb_lag1,0.120484534623015
LinearRegression,o3_ppb_lag1,0.12048453462301634
LinearRegression,o3_ppb_lag3,0.2378753672507094
LinearRegression,o3_ppb_lag3,0.2378753672507085
LinearRegression,o3_ppb_lag6,-0.2580139100046362
LinearRegression,o3_ppb_lag6,-0.25801391000463614
LinearRegression,o3_ppb_lag24,0.6938171900489366
LinearRegression,o3_ppb_lag24,0.6938171900489372
LinearRegression,temperature_c_lag1,-0.28093067159760804
LinearRegression,temperature_c_lag1,-0.28093067159760693
LinearRegression,temperature_c_lag3,-0.2096750421914138
LinearRegression,temperature_c_lag3,-0.20967504219141544
LinearRegression,temperature_c_lag6,0.15500147338437492
LinearRegression,temperature_c_lag6,0.15500147338437606
LinearRegression,temperature_c_lag24,-0.03627675111310391
LinearRegression,temperature_c_lag24,-0.0362767511131033
LinearRegression,relative_humidity_lag1,-0.1756538805181159
LinearRegression,relative_humidity_lag1,-0.17565388051811498
LinearRegression,relative_humidity_lag3,0.04298716072956939
LinearRegression,relative_humidity_lag3,0.04298716072956825
LinearRegression,relative_humidity_lag6,0.14144308353369162
LinearRegression,relative_humidity_lag6,0.1414430835336911
LinearRegression,relative_humidity_lag24,-0.021494660965717283
LinearRegression,relative_humidity_lag24,-0.02149466096571792
LinearRegression,wind_speed_ms_lag1,-0.20877319950623907
LinearRegression,wind_speed_ms_lag1,-0.2087731995062402
LinearRegression,wind_speed_ms_lag3,-0.056177772660747693
LinearRegression,wind_speed_ms_lag3,-0.056177772660748304
LinearRegression,wind_speed_ms_lag6,-0.0647098232590465
LinearRegression,wind_speed_ms_lag6,-0.06470982325904609
LinearRegression,wind_speed_ms_lag24,-0.07017416109754113
LinearRegression,wind_speed_ms_lag24,-0.07017416109754145
LinearRegression,wind_direction_deg_lag1,-0.03351290772881452
LinearRegression,wind_direction_deg_lag1,-0.03351290772881435
LinearRegression,wind_direction_deg_lag3,0.003430296011003156
LinearRegression,wind_direction_deg_lag3,0.003430296011003059
LinearRegression,wind_direction_deg_lag6,0.30868292154792215
LinearRegression,wind_direction_deg_lag6,0.3086829215479229
LinearRegression,wind_direction_deg_lag24,0.11949721351131415
LinearRegression,wind_direction_deg_lag24,0.11949721351131434
LinearRegression,pm25_ugm3_rollmean_3,0.1183450042051789
LinearRegression,pm25_ugm3_rollmean_3,0.11834500420517902
LinearRegression,pm25_ugm3_rollmean_6,0.021191858778115996
LinearRegression,pm25_ugm3_rollmean_6,0.021191858778116426
LinearRegression,pm25_ugm3_rollmean_24,-0.12999192853230282
LinearRegression,pm25_ugm3_rollmean_24,-0.12999192853230362
LinearRegression,co_ppm_rollmean_3,0.02715248574746837
LinearRegression,co_ppm_rollmean_3,0.02715248574746837
LinearRegression,co_ppm_rollmean_6,0.11574519016930396
LinearRegression,co_ppm_rollmean_6,0.11574519016930346
LinearRegression,co_ppm_rollmean_24,-0.20098523782394956
LinearRegression,co_ppm_rollmean_24,-0.20098523782394928
LinearRegression,no2_ppb_rollmean_3,0.6858381421051796
LinearRegression,no2_ppb_rollmean_3,0.6858381421051801
LinearRegression,no2_ppb_rollmean_6,-0.15362058329194472
LinearRegression,no2_ppb_rollmean_6,-0.15362058329194395
LinearRegression,no2_ppb_rollmean_24,0.00732874952436674
LinearRegression,no2_ppb_rollmean_24,0.0073287495243671286
LinearRegression,so2_ppb_rollmean_3,0.28713422464792454
LinearRegression,so2_ppb_rollmean_3,0.2871342246479248
LinearRegression,so2_ppb_rollmean_6,-0.3960281295250987
LinearRegression,so2_ppb_rollmean_6,-0.3960281295250983
LinearRegression,so2_ppb_rollmean_24,0.13050601458668665
LinearRegression,so2_ppb_rollmean_24,0.13050601458668673
LinearRegression,o3_ppb_rollmean_3,0.2144870665723711
LinearRegression,o3_ppb_rollmean_3,0.2144870665723716
LinearRegression,o3_ppb_rollmean_6,1.1871893232671984
LinearRegression,o3_ppb_rollmean_6,1.187189323267198
LinearRegression,o3_ppb_rollmean_24,0.15830808509708216
LinearRegression,o3_ppb_rollmean_24,0.15830808509708227
LinearRegression,temperature_c_rollmean_3,0.27685527662242176
LinearRegression,temperature_c_rollmean_3,0.27685527662242176
LinearRegression,temperature_c_rollmean_6,0.03169475991002549
LinearRegression,temperature_c_rollmean_6,0.03169475991002546
LinearRegression,temperature_c_rollmean_24,0.10844985630124265
LinearRegression,temperature_c_rollmean_24,0.10844985630124276
LinearRegression,relative_humidity_rollmean_3,-0.016762355696064532
LinearRegression,relative_humidity_rollmean_3,-0.016762355696064213
LinearRegression,relative_humidity_rollmean_6,-0.13025837419790642
LinearRegression,relative_humidity_rollmean_6,-0.13025837419790637
LinearRegression,relative_humidity_rollmean_24,-0.03166719336619617
LinearRegression,relative_humidity_rollmean_24,-0.03166719336619586
LinearRegression,wind_speed_ms_rollmean_3,0.14599725346774814
LinearRegression,wind_speed_ms_rollmean_3,0.14599725346774856
LinearRegression,wind_speed_ms_rollmean_6,-0.030869583335494
LinearRegression,wind_speed_ms_rollmean_6,-0.03086958333549411
LinearRegression,wind_speed_ms_rollmean_24,0.22184542645001892
LinearRegression,wind_speed_ms_rollmean_24,0.22184542645001887
LinearRegression,wind_direction_deg_rollmean_3,-0.013780116695664535
LinearRegression,wind_direction_deg_rollmean_3,-0.013780116695664424
LinearRegression,wind_direction_deg_rollmean_6,0.07040521100834372
LinearRegression,wind_direction_deg_rollmean_6,0.070405211008343
LinearRegression,wind_direction_deg_rollmean_24,-0.12942750275741477
LinearRegression,wind_direction_deg_rollmean_24,-0.1294275027574146
LinearRegression,temperature_c_x_relative_humidity,0.04226869296375112
LinearRegression,temperature_c_x_relative_humidity,0.04226869296375092
LinearRegression,pm25_ugm3_lag1,0.2893905888224503
LinearRegression,pm25_ugm3_lag1,0.28939058882244995
LinearRegression,pm25_ugm3_lag3,-0.03905707957769908
LinearRegression,pm25_ugm3_lag3,-0.03905707957769902
LinearRegression,pm25_ugm3_lag6,-0.32688642204934826
LinearRegression,pm25_ugm3_lag6,-0.3268864220493484
LinearRegression,pm25_ugm3_lag24,0.3061036905398731
LinearRegression,pm25_ugm3_lag24,0.30610369053987235
LinearRegression,co_ppm_lag1,0.10457174088134069
LinearRegression,co_ppm_lag1,0.10457174088134116
LinearRegression,co_ppm_lag3,0.08137381254466414
LinearRegression,co_ppm_lag3,0.08137381254466391
LinearRegression,co_ppm_lag6,0.15697000771536596
LinearRegression,co_ppm_lag6,0.15697000771536596
LinearRegression,co_ppm_lag24,0.24876787592224864
LinearRegression,co_ppm_lag24,0.2487678759222482
LinearRegression,no2_ppb_lag1,0.040661104306335294
LinearRegression,no2_ppb_lag1,0.04066110430633452
LinearRegression,no2_ppb_lag3,-0.2514042651032901
LinearRegression,no2_ppb_lag3,-0.2514042651032901
LinearRegression,no2_ppb_lag6,-0.5135474434652025
LinearRegression,no2_ppb_lag6,-0.5135474434652033
LinearRegression,no2_ppb_lag24,0.5205509954383458
LinearRegression,no2_ppb_lag24,0.5205509954383458
LinearRegression,so2_ppb_lag1,-0.05473497354991655
LinearRegression,so2_ppb_lag1,-0.05473497354991669
LinearRegression,so2_ppb_lag3,-0.01602057462742751
LinearRegression,so2_ppb_lag3,-0.01602057462742862
LinearRegression,so2_ppb_lag6,0.3853480816645053
LinearRegression,so2_ppb_lag6,0.3853480816645056
LinearRegression,so2_ppb_lag24,-0.077766443358086
LinearRegression,so2_ppb_lag24,-0.07776644335808602
LinearRegression,o3_ppb_lag1,0.12048453462301645
LinearRegression,o3_ppb_lag1,0.12048453462301678
LinearRegression,o3_ppb_lag3,0.23787536725070985
LinearRegression,o3_ppb_lag3,0.2378753672507093
LinearRegression,o3_ppb_lag6,-0.25801391000463525
LinearRegression,o3_ppb_lag6,-0.25801391000463547
LinearRegression,o3_ppb_lag24,0.6938171900489367
LinearRegression,o3_ppb_lag24,0.6938171900489365
LinearRegression,temperature_c_lag1,-0.28093067159760765
LinearRegression,temperature_c_lag1,-0.28093067159760704
LinearRegression,temperature_c_lag3,-0.20967504219141492
LinearRegression,temperature_c_lag3,-0.20967504219141492
LinearRegression,temperature_c_lag6,0.15500147338437664
LinearRegression,temperature_c_lag6,0.15500147338437606
LinearRegression,temperature_c_lag24,-0.03627675111310302
LinearRegression,temperature_c_lag24,-0.03627675111310258
LinearRegression,relative_humidity_lag1,-0.1756538805181148
LinearRegression,relative_humidity_lag1,-0.17565388051811417
LinearRegression,relative_humidity_lag3,0.04298716072956975
LinearRegression,relative_humidity_lag3,0.04298716072956954
LinearRegression,relative_humidity_lag6,0.14144308353369134
LinearRegression,relative_humidity_lag6,0.14144308353369106
LinearRegression,relative_humidity_lag24,-0.021494660965717227
LinearRegression,relative_humidity_lag24,-0.021494660965717602
LinearRegression,wind_speed_ms_lag1,-0.20877319950623965
LinearRegression,wind_speed_ms_lag1,-0.2087731995062403
LinearRegression,wind_speed_ms_lag3,-0.05617777266074889
LinearRegression,wind_speed_ms_lag3,-0.05617777266074858
LinearRegression,wind_speed_ms_lag6,-0.06470982325904609
LinearRegression,wind_speed_ms_lag6,-0.06470982325904609
LinearRegression,wind_speed_ms_lag24,-0.07017416109754146
LinearRegression,wind_speed_ms_lag24,-0.07017416109754154
LinearRegression,wind_direction_deg_lag1,-0.03351290772881477
