timestamp,latitude,longitude,pm25_ugm3,co_ppm,no2_ppb,so2_ppb,o3_ppb,temperature_c,relative_humidity,wind_speed_ms,wind_direction_deg,aqi_value
2024-05-01 09:00:00,14.675886,77.593027,75.0,7.2,4.7,3.6,6.8,35.22,33.79,3.94,259.8,75
2024-05-01 05:00:00,16.9872867,81.7363176,5.0,5.8,1.1,4.7,6.5,34.87,52.86,4.19,202.5,19
2024-05-01 10:00:00,13.67,79.35,90.0,7.3,10.0,4.1,12.5,35.1,46.06,4.31,176.7,90
2020-11-19 16:00:00,16.507014,80.627767,52.0,4.2,0.7,4.9,5.1,24.94,87.03,2.44,109.8,-
2024-05-01 10:00:00,27.103358,93.679645,127.0,2.8,1.1,1.7,1.0,25.98,66.55,3.14,222.0,127
2024-05-01 09:00:00,26.1875,91.744194,63.0,4.1,0.1,15.5,7.0,28.62,51.48,4.6,221.6,63
2024-05-01 10:00:00,25.204762,85.51496,87.0,10.7,3.5,4.5,9.6,34.03,15.31,5.04,290.6,87
2024-05-01 10:00:00,25.5626095,84.663264,102.0,2.5,0.5,7.4,10.2,34.45,10.5,5.13,289.3,102
2023-12-22 18:00:00,25.444266,86.140169,262.0,2.1,34.0,6.8,1.6,16.9,66.27,1.51,262.3,262
2024-05-01 09:00:00,26.80365,84.51954,174.0,11.4,10.4,5.1,7.9,33.19,10.86,5.8,276.8,174
2024-05-01 10:00:00,25.251013,86.989001,122.0,8.6,18.7,6.6,19.8,35.19,12.01,6.34,276.2,122
2024-05-01 10:00:00,25.204762,85.51496,87.0,10.7,3.5,4.5,9.6,34.03,15.31,5.04,290.6,87
2024-05-01 09:00:00,24.762518,84.982348,162.0,4.8,12.5,4.5,7.7,34.55,12.94,4.81,294.7,162
2022-12-01 17:00:00,25.555605,83.950942,241.0,6.0,1.6,1.5,8.2,17.07,69.28,2.66,301.9,241
2024-05-01 10:00:00,25.7808257,84.7446768,157.0,10.1,11.0,2.4,0.9,34.6,10.36,5.92,281.7,157
