City,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,Time
"Gulzarpet, Anantapur, India",75,75.0,61.0,6.8,4.7,3.6,7.2,14.675886,77.593027,2024-05-01 09:00:00
"Anand Kala Kshetram, Rajamahendravaram, India",19,5.0,19.0,6.5,1.1,4.7,5.8,16.9872867,81.7363176,2024-05-01 05:00:00
"Tirumala-APPCB, Tirupati, India",90,90.0,58.0,12.5,10.0,4.1,7.3,13.67,79.35,2024-05-01 10:00:00
"PWD Grounds, Vijayawada, India",-,52.0,,5.1,0.7,4.9,4.2,16.507014,80.627767,2020-11-19 16:00:00
"Naharlagun, Naharlagun, India",127,127.0,57.0,1.0,1.1,1.7,2.8,27.103358,93.679645,2024-05-01 10:00:00
"Pan Bazaar, Guwahati, India",63,63.0,51.0,7.0,0.1,15.5,4.1,26.1875,91.744194,2024-05-01 09:00:00
"D M Colony, Bihar Sharif, India",87,87.0,58.0,9.6,3.5,4.5,10.7,25.204762,85.51496,2024-05-01 10:00:00
"New DM Office, Arrah, India",102,102.0,76.0,10.2,0.5,7.4,2.5,25.5626095,84.663264,2024-05-01 10:00:00
"DRCC Anandpur, Begusarai, India",262,262.0,152.0,1.6,34.0,6.8,2.1,25.444266,86.140169,2023-12-22 18:00:00
"Kamalnath Nagar, Bettiah, India",174,174.0,117.0,7.9,10.4,5.1,11.4,26.80365,84.51954,2024-05-01 09:00:00
"DM Office_Kachari Chowk, Bhagalpur, India",122,122.0,57.0,19.8,18.7,6.6,8.6,25.251013,86.989001,2024-05-01 10:00:00
"D M Colony, Bihar Sharif, India",87,87.0,58.0,9.6,3.5,4.5,10.7,25.204762,85.51496,2024-05-01 10:00:00
"SFTI Kusdihra, Gaya, India",162,162.0,88.0,7.7,12.5,4.5,4.8,24.762518,84.982348,2024-05-01 09:00:00
"Central Jail, Buxar, India",241,241.0,147.0,8.2,1.6,1.5,6.0,25.555605,83.950942,2022-12-01 17:00:00
"Darshan Nagar, Chhapra, India",157,157.0,95.0,0.9,11.0,2.4,10.1,25.7808257,84.7446768,2024-05-01 10:00:00
"Town Hall - Lal Bagh, Darbhanga, India",192,192.0,170.0,21.6,1.6,10.1,4.8,26.15146,85.89342,2023-01-14 13:00:00
"Collectorate, Gaya, India",133,133.0,,22.0,1.0,7.8,3.9,24.7955,84.9994,2024-05-01 09:00:00
"Industrial Area, Hajipur, India",151,124.0,151.0,5.3,29.5,3.5,6.3,25.697189,85.2459,2024-05-01 10:00:00
"Town Hall, Munger, India",158,158.0,92.0,15.1,1.9,9.0,11.5,25.376776,86.471523,2024-05-01 10:00:00
"Mirchaibari, Katihar, India",111,65.0,111.0,6.9,11.2,9.1,11.3,25.560083,87.553265,2024-05-01 10:00:00
"Gandak Colony, Motihari, India",113,113.0,55.0,48.0,22.7,4.1,6.0,26.63086,84.90051,2024-05-01 08:00:00
"Town Hall, Munger, India",158,158.0,92.0,15.1,1.9,9.0,11.5,25.376776,86.471523,2024-05-01 10:00:00
"Buddha Colony, Muzaffarpur, India",193,193.0,162.0,12.6,9.0,4.7,4.4,26.11442,85.39813,2024-05-01 10:00:00
"IGSC Planetarium Complex, Patna, India",155,155.0,,17.3,4.1,2.1,2.3,25.6103665,85.1327137,2024-05-01 10:00:00
"Police Line, Saharsa, India",104,104.0,97.0,12.9,2.7,6.7,9.9,25.892357,86.590325,2024-05-01 09:00:00
"DM Office_Kasipur, Samastipur, India",152,152.0,72.0,23.3,4.8,4.1,4.0,25.859655,85.77944,2024-05-01 10:00:00
"Chitragupta Nagar, Siwan, India",49,127.0,88.0,48.5,5.9,12.9,18.7,26.2271665,84.3570427,2024-05-01 10:00:00
"Sector 22, Chandigarh, India",80,80.0,60.0,47.5,6.5,5.3,5.3,30.735567,76.775714,2024-05-01 10:00:00
"Sector 22, Chandigarh, India",80,80.0,60.0,47.5,6.5,5.3,5.3,30.735567,76.775714,2024-05-01 10:00:00
"Civic Center, Bhilai, India",70,70.0,41.0,24.0,4.7,3.6,6.7,21.185571,81.343175,2024-05-01 10:00:00
"Mangala, Bilaspur, India",133,133.0,61.0,,4.7,8.8,6.0,22.08815,82.13737,2024-05-01 10:00:00
"Civic Center, Bhilai, India",70,70.0,41.0,24.0,4.7,3.6,6.7,21.185571,81.343175,2024-05-01 10:00:00
"Doon University, Dehradun, India",94,93.0,94.0,36.6,1.0,1.1,3.4,30.269444,78.044167,2024-05-01 10:00:00
"Phase-1 GIDC, Vapi, India",124,124.0,62.0,0.1,2.5,21.9,,20.362421,72.918013,2024-05-01 09:00:00
"Phase-1 GIDC, Vapi, India",124,124.0,62.0,0.1,2.5,21.9,,20.362421,72.918013,2024-05-01 09:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",151,151.0,,,,,,28.63576,77.22445,2024-05-01 08:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",151,151.0,,,,,,28.63576,77.22445,2024-05-01 08:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",151,151.0,,,,,,28.63576,77.22445,2024-05-01 08:00:00
"Maninagar, Ahmedabad, India",76,76.0,75.0,11.0,12.9,3.8,14.9,23.002657,72.591912,2024-05-01 10:00:00
"GIDC, Ankleshwar, India",93,93.0,69.0,15.0,11.9,14.1,11.0,21.613267,73.010555,2024-05-01 10:00:00
"GIFT City, Gandhinagar, India",15,,,14.7,2.5,3.9,0.7,23.163798,72.677768,2024-05-01 10:00:00
